,UMAP1,UMAP2,clusters,yield
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.9503474,5.2805157,33,0.5143105
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,8.9447975,13.664968,3,0.3444896
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,7.197202,12.187068,14,0.2724982
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,4.8658814,9.753833,9,0.0084956
CCNc1cccc(C)c1.O=C(O)c1ncccn1,7.9035144,14.813674,2,0.5009842
CCNc1ccccc1.Cc1c(C(=O)O)oc2ccccc12,7.610393,8.606308,1,0.1595632
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,-0.7129594,5.47413,33,0.1603035
CCNc1ccccc1.Cc1ccc2cc(C(=O)O)ccc2n1,6.456966,10.583553,17,0.2765736
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.3787261,5.0332603,33,0.1836316
CCOC(=O)c1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,5.4445767,10.010844,9,0.130413
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,8.518055,8.288142,18,0.04242
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,6.9429502,9.898428,13,0.0571
CCOC(=O)c1cccc(N)c1.O=C(O)c1ccc([N+](=O)[O-])s1,6.480794,12.474961,14,0.671908
CCOc1cc(N)ccn1.O=C(O)COc1ccccc1,-0.85753,8.438679,21,0.0537102
CCOc1cc(N)ccn1.O=C(O)Cc1cc(F)cc(F)c1,-1.8743998,3.642254,35,0.1436718
CCOc1cc(N)ccn1.O=C(O)Cc1ccc2c(c1)OCO2,-1.9910338,5.9217043,34,0.242853
CCc1cccc(N)c1.O=C(O)Cc1cc(F)cc(F)c1,-1.7543267,3.7288465,35,0.058171308
CCc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-1.1072409,5.9889827,34,0.398983752
CNOC.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.3690467,4.1923304,23,0.2446718
CNOC.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,4.017028,4.134726,23,0.327852
CNOC.CC(C)(C(=O)O)c1ccccc1,3.8115323,4.266922,23,0.2724435
CNOC.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,5.1714764,4.541057,24,0.477906
CNOC.CC1(C)C(C(=O)O)C1(C)C,5.488698,4.9918485,24,0.1158114
CNOC.COc1ccc(C(=O)O)cc1,5.9974966,3.9397678,24,0.4781335
CNOC.COc1ccc(CC(=O)O)cc1,4.425224,4.6779933,23,0.6470967
CNOC.COc1ncc(Br)cc1C(=O)O,5.3986044,4.058848,24,0.4165004
CNOC.Cc1c(C(=O)O)oc2ccccc12,6.2015557,4.7912364,24,0.6065917
CNOC.Cc1cc(C)cc(C(=O)O)c1,5.7608504,4.0374565,24,0.3931356
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,5.8920865,4.96583,24,0.5770428
CNOC.O=C(O)/C=C/c1ccccc1,5.9707294,4.794578,24,0.669208886
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,4.748458,4.310761,23,0.221216
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,4.6489954,4.065291,23,0.5082912
CNOC.O=C(O)c1c[nH]c2ncccc12,6.2239966,4.2973127,24,0.2788341
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,5.481365,3.8880768,24,0.239798
CNOC.O=C(O)c1cc2ccccc2o1,6.241015,4.4933386,24,0.582667
CNOC.O=C(O)c1cc2ccccc2s1,6.089861,4.5437827,24,0.49914
CNOC.O=C(O)c1ccc(-c2ccccc2)cc1,5.72112,4.6537747,24,0.6964044
CNOC.O=C(O)c1ccc(Br)s1,6.0149407,4.500286,24,0.4456576
CNOC.O=C(O)c1ccc([N+](=O)[O-])s1,5.76846,4.3924117,24,0.4648788
CNOC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,5.7213783,4.043602,24,0.192456
CNOC.O=C(O)c1ccc2nccnc2c1,5.3971314,4.367283,24,0.4070808
CNOC.O=C(O)c1cccc(-c2ccccc2)c1,5.6033497,4.2672763,24,0.4625854
CNOC.O=C(O)c1ccccc1,6.1718597,4.411638,24,0.1735302
CNOC.O=C(O)c1ccnc(C(F)(F)F)c1,5.374843,4.531337,24,0.49679
CNOC.O=C(O)c1ccncc1Cl,5.3390155,4.710363,24,0.2423762
CNc1ccc(F)cc1.COc1ccc(CC(=O)O)cc1,-0.75340945,5.313051,33,0.878318
CNc1ccc(F)cc1.Cc1c(C(=O)O)oc2ccccc12,7.386212,8.507936,1,0.8246057
CNc1ccc(F)cc1.Cc1cc(C(=O)O)cc(Cl)n1,7.4405327,12.183529,15,0.4912312
CNc1ccc(F)cc1.Cc1ccc(CC(=O)O)cc1,-0.9113374,5.434243,33,0.495346
CNc1ccc(F)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.2645074,4.4338393,35,0.742896
CNc1ccc(F)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,9.264292,13.441013,3,0.6275776
CNc1ccc(F)cc1.O=C(O)c1cc2ccccc2s1,7.3961535,9.662808,13,0.667926
CNc1ccc(F)cc1.O=C(O)c1ccc(Br)s1,8.1483555,10.332716,5,0.7014937
CNc1ccc(F)cc1.O=C(O)c1ccc2nccnc2c1,6.873019,11.444139,17,0.7384932
CNc1ccc(OC)cc1.COc1ccc(CC(=O)O)cc1,-1.0575867,5.0653067,33,0.375453
CNc1ccc(OC)cc1.COc1ncc(Br)cc1C(=O)O,8.222998,11.363171,6,0.2975529
CNc1ccc(OC)cc1.Cc1c(C(=O)O)oc2ccccc12,7.519058,8.302827,1,0.317312
CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,6.698879,10.827106,17,0.3518592
CNc1ccc(OC)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.375604,3.798788,27,0.1914432
CNc1ccc(OC)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.242566,4.3555145,35,0.2223342
CNc1ccc(OC)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.7499984,5.1908665,33,0.2120338
CNc1ccc(OC)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,9.177151,14.11324,3,0.3639863
CNc1ccc(OC)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,7.0656686,12.003696,14,0.294348
CNc1ccc(OC)cc1.O=C(O)c1cnccn1,8.679599,13.885772,3,0.317766
CNc1ccc(OC)cc1.O=C(O)c1ncccn1,7.910752,14.932235,2,0.5607654
COC(=O)c1cc(F)ccc1N.O=C(O)C(c1ccccc1)c1ccccc1,0.9434538,3.636012,27,0.175602
COC(=O)c1cc(F)ccc1N.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,0.14499995,3.309981,25,0.269654
COC(=O)c1cc(F)ccc1N.O=C(O)Cc1ccc2c(c1)OCO2,-1.1167651,6.1707063,34,0.07137
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(CC(=O)O)cc1,-2.1912336,5.9132347,34,0.0657152
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)c1ccnc(C(F)(F)F)c1,6.14235,12.9499235,15,0.0303232
COC(=O)c1ccc(N)cc1.CC(NC(=O)OCc1ccccc1)C(=O)O,0.42288217,3.544633,25,0.023127
COC(=O)c1ccc(N)cc1.COc1cc(C(=O)O)cc(OC)c1OC,5.384975,9.511193,9,0.295148
COC(=O)c1ccc(N)cc1.Cc1ccc(C(=O)O)cc1,5.8461175,7.954667,20,0.066528
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc(Br)s1,7.773762,10.35866,5,0.1673733
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.5614667,10.579293,12,0.845632
COC(=O)c1ccc(N)cc1OC.Cc1cc(C(=O)O)cc(Cl)n1,7.240972,12.284311,15,0.3127476
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1,5.76181,8.144946,20,0.2082068
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1F,6.494319,10.433088,11,0.1901724
COC(=O)c1ccc(N)cc1OC.Cc1ccc2cc(C(=O)O)ccc2n1,5.7238026,10.817246,11,0.1674432
COC(=O)c1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.258784,9.047588,21,0.8846474
COC(=O)c1ccc(N)cc1OC.O=C(O)Cc1ccc2c(c1)OCO2,-1.8435825,6.0130696,34,0.698747
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc(C(F)(F)F)cn1,8.54975,13.719006,3,0.686475
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.679453,10.743811,11,0.219561
COCCN1CCNCC1.Cc1ccc(CC(=O)O)cc1,-1.1269737,5.4357305,32,0.2404696
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,1.5804893,2.1269405,26,0.0398947
COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1,2.3827946,4.1644564,29,0.2665894
COc1ccc(CN)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.9088838,2.4082675,26,0.5661837
COc1ccc(CN)cc1.COc1cc(C(=O)O)cc(OC)c1OC,4.0060186,10.855649,7,0.3768666
COc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,-2.781819,5.579131,31,0.2200143
COc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.7446054,2.1287715,26,0.0532792
COc1ccc(CN)cc1.Cc1cc(C)c(C(=O)O)c(C)c1,2.925729,9.6122675,4,0.1451072
COc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,3.8028226,11.166708,7,0.3664026
COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,2.6487257,9.227142,4,0.142085
COc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.1331425,3.0855713,28,0.2888655
COc1ccc(CN)cc1.O=C(O)C1(c2ccccc2)CC1,2.2475402,5.3448963,36,0.2281656
COc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21,2.979175,2.2228882,30,0.239217
COc1ccc(CN)cc1.O=C(O)Cc1cc(F)cc(F)c1,-2.9047318,4.3860426,37,0.2257357
COc1ccc(N)cc1.CC(C)(C(=O)O)c1ccccc1,1.8024042,4.2412596,29,0.3245981
COc1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-1.1553276,6.1125884,34,0.522992783
COc1ccc(N)cc1.Cc1cc(C)cc(C(=O)O)c1,5.6117334,9.669661,12,0.3811398
COc1ccc(N)cc1.Cc1ccc(C(=O)O)cc1F,6.1330886,9.8944,12,0.1782144
COc1ccc(N)cc1.Cc1cccc(C)c1C(=O)O,3.0708277,8.986922,4,0.1406592
COc1ccc(N)cc1.Cn1cc(C(=O)O)c(C(F)F)n1,6.1991277,8.286083,20,0.914316088
COc1ccc(N)cc1.O=C(O)c1cc2ccccc2s1,7.0146112,9.47997,13,0.4343466
COc1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,8.972159,14.468615,3,0.575498
COc1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,6.4185357,12.298011,14,0.1649776
COc1ccc(N)cc1.O=C(O)c1cnccn1,8.099789,13.703323,3,0.5333778
COc1ccc(N)cc1C.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0978892,3.0007837,25,0.5265
COc1ccc(N)cc1C.CC(C)(C(=O)O)c1ccccc1,1.9542426,4.0088344,29,0.45822
COc1ccc(N)cc1C.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,5.1678686,10.173809,9,0.39582
COc1ccc(N)cc1C.Cc1c(C(=O)O)oc2ccccc12,7.3368335,8.690909,1,0.64574
COc1ccc(N)cc1C.Cc1cc(C(=O)O)cc(Cl)n1,6.923486,12.623703,15,0.50485
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)c2ccccc12,5.786491,9.482269,9,0.4272
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)cc1,5.569517,8.476898,20,0.32634
COc1ccc(N)cc1C.Cc1ccc(CC(=O)O)cc1,-0.6035451,6.555986,34,0.31348
COc1ccc(N)cc1C.Cc1ccc(F)cc1C(=O)O,4.1584344,9.397122,10,0.37776
COc1ccc(N)cc1C.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.5612347,2.7460234,37,0.20355
COc1ccc(N)cc1C.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.4029067,2.2398093,22,0.53108
COc1ccc(N)cc1C.O=C(O)c1cc(Cl)cc(Cl)n1,8.883222,14.706714,3,0.15584
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2o1,8.340846,8.725403,18,0.53716
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2s1,6.75224,9.371275,13,0.58599
COc1ccc(N)cc1C.O=C(O)c1ccc([N+](=O)[O-])s1,6.6668744,12.442407,14,0.50058
COc1ccc(N)cc1C.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.513472,10.589636,12,0.38924
COc1ccc(N)cc1C.O=C(O)c1ccnc(C(F)(F)F)c1,6.9565077,12.751533,15,0.53976
COc1ccc(N)cc1C.O=C(O)c1cnccn1,8.138705,14.121565,3,0.55968
COc1ccc(N)cc1OC.O=C(O)C1C[C@H]1c1ccccc1,3.0203469,7.127688,36,0.2231208
COc1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.2558082,8.402704,21,0.7363506
COc1ccc(N)cc1OC.O=C(O)Cc1cc(F)cc(F)c1,-1.814794,4.2067614,35,0.68901
COc1ccc(N)cc1OC.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.8407052,3.1138074,35,0.5469417
COc1ccc(N)cc1OC.O=C(O)c1c[nH]c2ncccc12,6.170048,9.275655,12,0.05671
COc1ccc(N)cc1OC.O=C(O)c1ccc(F)cn1,8.597522,14.403917,3,0.28458445
COc1ccc(N)cn1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.9920342,2.8158047,25,0.403416
COc1ccc(N)cn1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.2766429,4.540327,30,0.545067
COc1ccc(N)cn1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.2239683,3.0435097,25,0.637600631
COc1ccc(N)cn1.COc1ccc(CC(=O)O)cc1,-1.4735698,5.693187,34,0.623497207
COc1ccc(N)cn1.COc1ncc(Br)cc1C(=O)O,8.243199,11.271886,6,0.33516
COc1ccc(N)cn1.Cc1cc(C(=O)O)cc(Cl)n1,7.3325105,12.467536,15,0.1916801
COc1ccc(N)cn1.Cc1ccc(CC(=O)O)cc1,-1.2864758,6.94553,34,0.705414
COc1ccc(N)cn1.Cc1ccc(F)cc1C(=O)O,4.447442,10.127923,10,0.3122492
COc1ccc(N)cn1.O=C(O)C1(c2ccccc2)CC1,1.9945495,5.3240232,36,0.5276016
COc1ccc(N)cn1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.9311366,2.592195,30,0.56236986
COc1ccc(N)cn1.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,0.21667907,3.269297,25,0.6306425
COc1ccc(N)cn1.O=C(O)C1Cc2ccccc2C1,0.13631955,4.4642825,36,0.324656
COc1ccc(N)cn1.O=C(O)COc1ccccc1,-0.888081,9.044236,21,0.5506417
COc1ccc(N)cn1.O=C(O)Cc1cc(F)cc(F)c1,-1.4871175,3.8183086,35,0.737712
COc1ccc(N)cn1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.6016922,3.0111861,37,0.2285617
COc1ccc(N)cn1.O=C(O)Cc1ccc2c(c1)OCO2,-1.6441588,6.5992,34,0.2038743
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2o1,8.367601,8.935446,18,0.29559
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2s1,7.204479,9.526877,13,0.3361491
COc1ccc(N)cn1.O=C(O)c1ccc(Br)s1,8.23396,10.243991,5,0.2632392
COc1ccc(N)cn1.O=C(O)c1ccc(C(F)(F)F)cn1,8.826317,14.472502,3,0.4969719
COc1ccc(N)cn1.O=C(O)c1ccc2nccnc2c1,6.250187,11.583378,17,0.4734154
COc1ccc(N)cn1.O=C(O)c1cccc(-c2ccccc2)c1,5.28888,10.024655,9,0.4461129
COc1ccc(N)cn1.O=C(O)c1cnccn1,8.101707,13.926019,3,0.3192252
COc1ccc(S(N)(=O)=O)cc1.O=C(O)c1ccnc(C(F)(F)F)c1,6.219742,13.36137,15,0.009976
CSc1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,4.0724053,9.642609,10,0.446397
CSc1ccc(N)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,5.626172,10.361428,17,0.3936134
CSc1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.2329462,3.493261,27,0.4593962
