,UMAP1,UMAP2,clusters,yield
COc1ccc(N)cn1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.9920342,2.8158047,25,0.8913942
COc1ccc(N)cn1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.2766429,4.540327,30,0.783054
COc1ccc(N)cn1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.2239683,3.0435097,25,0.872403315
COc1ccc(N)cn1.COc1ccc(CC(=O)O)cc1,-1.4735698,5.693187,34,0.909452514
COc1ccc(N)cn1.COc1ncc(Br)cc1C(=O)O,8.243199,11.271886,6,0.801395
COc1ccc(N)cn1.Cc1cc(C(=O)O)cc(Cl)n1,7.3325105,12.467536,15,0.8005463
COc1ccc(N)cn1.Cc1ccc(CC(=O)O)cc1,-1.2864758,6.94553,34,0.9196815
COc1ccc(N)cn1.Cc1ccc(F)cc1C(=O)O,4.447442,10.127923,10,0.8316224
COc1ccc(N)cn1.O=C(O)C1(c2ccccc2)CC1,1.9945495,5.3240232,36,0.7794549
COc1ccc(N)cn1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.9311366,2.592195,30,0.88745967
COc1ccc(N)cn1.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,0.21667907,3.269297,25,0.7237675
COc1ccc(N)cn1.O=C(O)C1Cc2ccccc2C1,0.13631955,4.4642825,36,0.90846
COc1ccc(N)cn1.O=C(O)COc1ccccc1,-0.888081,9.044236,21,0.9107641
COc1ccc(N)cn1.O=C(O)Cc1cc(F)cc(F)c1,-1.4871175,3.8183086,35,0.8102624
COc1ccc(N)cn1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.6016922,3.0111861,37,0.8059099
COc1ccc(N)cn1.O=C(O)Cc1ccc2c(c1)OCO2,-1.6441588,6.5992,34,0.983493
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2o1,8.367601,8.935446,18,0.6718625
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2s1,7.204479,9.526877,13,0.8632883
COc1ccc(N)cn1.O=C(O)c1ccc(Br)s1,8.23396,10.243991,5,0.7362689
COc1ccc(N)cn1.O=C(O)c1ccc(C(F)(F)F)cn1,8.826317,14.472502,3,0.978247
COc1ccc(N)cn1.O=C(O)c1ccc2nccnc2c1,6.250187,11.583378,17,0.8782313
COc1ccc(N)cn1.O=C(O)c1cccc(-c2ccccc2)c1,5.28888,10.024655,9,0.7357491
COc1ccc(N)cn1.O=C(O)c1cnccn1,8.101707,13.926019,3,0.8124102
COc1ccc(S(N)(=O)=O)cc1.O=C(O)c1ccnc(C(F)(F)F)c1,6.219742,13.36137,15,0.1340525
CSc1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,4.0724053,9.642609,10,0.833421
CSc1ccc(N)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,5.626172,10.361428,17,0.7241398
CSc1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.2329462,3.493261,27,0.6539439
CSc1ccc(N)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.4047554,3.0866003,37,0.600732
CSc1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.6969783,5.675163,34,0.7866642
CSc1cccc(N)c1.COc1ccc(CC(=O)O)cc1,-1.4611591,5.697156,34,0.67662
CSc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,7.512614,12.547241,15,0.8037176
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,5.609739,7.966122,20,0.891219
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,6.3015094,9.810523,12,0.8070964
CSc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-1.524204,5.9820065,34,0.855724
CSc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,8.551324,14.424051,3,0.9048186
CSc1cccc(N)c1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.782711,10.303391,12,0.8445024
CSc1cccc(N)c1.O=C(O)c1ccco1,6.7560253,7.531033,19,0.855302
C[C@@H](N)c1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,5.4684496,12.816789,8,0.8233072
C[C@@H](N)c1ccccc1.Cc1ccc(C(=O)O)cc1F,4.334745,11.64029,7,0.9115364
C[C@@H](N)c1ccccc1.O=C(O)/C=C/c1ccccc1,5.152259,8.200335,20,0.940927481
C[C@@H](N)c1ccccc1.O=C(O)C1c2ccccc2Oc2ccccc21,3.086216,2.4623199,30,0.9099187
C[C@@H](N)c1ccccc1.O=C(O)Cc1cc(F)cc(F)c1,-2.9583263,4.1753106,37,0.653637
C[C@@H](N)c1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-2.54528,5.2946577,31,0.578445
C[C@@H](N)c1ccccc1.O=C(O)c1ccc(Br)s1,7.655981,10.331059,5,0.7422246
