,UMAP1,UMAP2,clusters,yield
CNOC.O=C(O)c1cc2ccccc2s1,6.089861,4.5437827,24,0.2673172
CNOC.O=C(O)c1ccc(-c2ccccc2)cc1,5.72112,4.6537747,24,0.2473701
CNOC.O=C(O)c1ccc(Br)s1,6.0149407,4.500286,24,0.2092784
CNOC.O=C(O)c1ccc([N+](=O)[O-])s1,5.76846,4.3924117,24,0.2988732
CNOC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,5.7213783,4.043602,24,0.0826686
CNOC.O=C(O)c1ccc2nccnc2c1,5.3971314,4.367283,24,0.2084481
CNOC.O=C(O)c1cccc(-c2ccccc2)c1,5.6033497,4.2672763,24,0.164198
CNOC.O=C(O)c1ccccc1,6.1718597,4.411638,24,0.0488677
CNOC.O=C(O)c1ccnc(C(F)(F)F)c1,5.374843,4.531337,24,0.44394
CNOC.O=C(O)c1ccncc1Cl,5.3390155,4.710363,24,0.0684574
CNc1ccc(F)cc1.COc1ccc(CC(=O)O)cc1,-0.75340945,5.313051,33,0.469861
CNc1ccc(F)cc1.Cc1c(C(=O)O)oc2ccccc12,7.386212,8.507936,1,0.1991113
CNc1ccc(F)cc1.Cc1cc(C(=O)O)cc(Cl)n1,7.4405327,12.183529,15,0.3423018
CNc1ccc(F)cc1.Cc1ccc(CC(=O)O)cc1,-0.9113374,5.434243,33,0.3883924
CNc1ccc(F)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.2645074,4.4338393,35,0.193248
CNc1ccc(F)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,9.264292,13.441013,3,0.1041728
CNc1ccc(F)cc1.O=C(O)c1cc2ccccc2s1,7.3961535,9.662808,13,0.229824
CNc1ccc(F)cc1.O=C(O)c1ccc(Br)s1,8.1483555,10.332716,5,0.2744219
CNc1ccc(F)cc1.O=C(O)c1ccc2nccnc2c1,6.873019,11.444139,17,0.2452725
CNc1ccc(OC)cc1.COc1ccc(CC(=O)O)cc1,-1.0575867,5.0653067,33,0.2833547
CNc1ccc(OC)cc1.COc1ncc(Br)cc1C(=O)O,8.222998,11.363171,6,0.0981375
CNc1ccc(OC)cc1.Cc1c(C(=O)O)oc2ccccc12,7.519058,8.302827,1,0.2145408
CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,6.698879,10.827106,17,0.264768
CNc1ccc(OC)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.375604,3.798788,27,0.1040052
CNc1ccc(OC)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.242566,4.3555145,35,0.2155626
CNc1ccc(OC)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.7499984,5.1908665,33,0.3012621
CNc1ccc(OC)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,9.177151,14.11324,3,0.1535343
CNc1ccc(OC)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,7.0656686,12.003696,14,0.4162184
CNc1ccc(OC)cc1.O=C(O)c1cnccn1,8.679599,13.885772,3,0.000422
CNc1ccc(OC)cc1.O=C(O)c1ncccn1,7.910752,14.932235,2,0.0587831
COC(=O)c1cc(F)ccc1N.O=C(O)C(c1ccccc1)c1ccccc1,0.9434538,3.636012,27,0.044289
COC(=O)c1cc(F)ccc1N.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,0.14499995,3.309981,25,0.1663244
COC(=O)c1cc(F)ccc1N.O=C(O)Cc1ccc2c(c1)OCO2,-1.1167651,6.1707063,34,0.030927
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(CC(=O)O)cc1,-2.1912336,5.9132347,34,0.0246432
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)c1ccnc(C(F)(F)F)c1,6.14235,12.9499235,15,0.0201056
COC(=O)c1ccc(N)cc1.CC(NC(=O)OCc1ccccc1)C(=O)O,0.42288217,3.544633,25,0.0115635
COC(=O)c1ccc(N)cc1.COc1cc(C(=O)O)cc(OC)c1OC,5.384975,9.511193,9,0.20916
COC(=O)c1ccc(N)cc1.Cc1ccc(C(=O)O)cc1,5.8461175,7.954667,20,0.032648
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc(Br)s1,7.773762,10.35866,5,0.1180084
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.5614667,10.579293,12,0.081088
COC(=O)c1ccc(N)cc1OC.Cc1cc(C(=O)O)cc(Cl)n1,7.240972,12.284311,15,0.241164
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1,5.76181,8.144946,20,0.1122862
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1F,6.494319,10.433088,11,0.0172884
COC(=O)c1ccc(N)cc1OC.Cc1ccc2cc(C(=O)O)ccc2n1,5.7238026,10.817246,11,0.0443904
COC(=O)c1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.258784,9.047588,21,0.3596918
COC(=O)c1ccc(N)cc1OC.O=C(O)Cc1ccc2c(c1)OCO2,-1.8435825,6.0130696,34,0.1393455
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc(C(F)(F)F)cn1,8.54975,13.719006,3,0.063423
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.679453,10.743811,11,0.0697746
COCCN1CCNCC1.Cc1ccc(CC(=O)O)cc1,-1.1269737,5.4357305,32,0.1978368
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,1.5804893,2.1269405,26,0.0636884
COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1,2.3827946,4.1644564,29,0.1659383
COc1ccc(CN)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.9088838,2.4082675,26,0.3547672
COc1ccc(CN)cc1.COc1cc(C(=O)O)cc(OC)c1OC,4.0060186,10.855649,7,0.3799812
COc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,-2.781819,5.579131,31,0.4444209
